UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LSUPPVRS
143297,2,"R",10027,"R",8,"R",36,"R",201,"R",0,"R",10228,"R",44,"R",10272,"R",567,"R",0,"R",567,"R",0,"R",0,2,"R",0,"R",8601,"R",208514,"R",0,"R",217115,"R",0,"R",0,"R",0,"R",217115,217115,"R ",872,"R ",795, 1
143358,2,"R",446041,"R",5076,"R",53,"R",18438,"R",4986,"R",464479,"R",10115,"R",474594,"R",37808,"R",9055,"R",46863,"R",0,"R",1212120,2,"R",0,"R",195797,"R",1130402,"R",96010,"R",1422209,"R",0,"R",149308,"R",149308,"R",2783637,2783637,"R ",6874,"R ",8316, 1
143613,2,"R",37844,"R",6271,"R",372,"R",1628,"R",35648,"R",39472,"R",42291,"R",81763,"R",3310,"R",2781,"R",6091,"R",2,"R",182240,2,"Z",0,"R",46669,"R",64758,"R",0,"R",111427,"R",4189,"R",6983,"R",11172,"R",304839,304839,"R ",1080,"R ",414, 1
143659,2,"R",159580,"R",19076,"R",60,"R",1215,"R",4941,"R",160795,"R",24077,"R",184872,"R",14946,"R",6466,"R",21412,"R",0,"R",296619,1,"R",108613,"R",43506,"R",72506,"R",0,"R",116012,"R",4879,"R",36109,"R",40988,"R",562232,453619,"R ",2995,"R ",636, 1
143853,2,"R",35551,"R",14459,"R",104,"R",195,"R",2002,"R",35746,"R",16565,"R",52311,"R",8954,"R",235848,"R",244802,"R",0,"R",774976,2,"R",0,"R",91203,"R",1375917,"R",15324,"R",1482444,"R",4478,"R",217949,"R",222427,"R",2479847,2479847,"R ",1141,"R ",3295, 1
143978,2,"R",13501,"R",192186,"R",153,"R",637,"R",10015,"R",14138,"R",202354,"R",216492,"R",10036,"R",219236,"R",229272,"R",0,"R",174312,1,"R",23218,"R",42070,"R",183922,"R",39296,"R",265288,"R",0,"R",6000,"R",6000,"R",468818,445600,"R ",1666,"R ",8195, 1
144005,2,"R",485271,"R",52019,"R",141,"R",6953,"R",21166,"R",492224,"R",73326,"R",565550,"R",8235,"R",5901,"R",14136,"R",0,"R",2017320,2,"R",0,"R",129873,"R",685595,"R",0,"R",815468,"R",8000,"R",49035,"R",57035,"R",2889823,2889823,"R ",2350,"R ",2586, 1
144014,2,"R",56658,"R",241598,"R",34,"R",601,"R",10548,"R",57259,"R",252180,"R",309439,"R",2565,"R",16517,"R",19082,"R",0,"R",103583,2,"R",0,"R",32136,"R",33684,"R",0,"R",65820,"R",582,"R",20577,"R",21159,"R",190562,190562,"R ",392,"R ",223, 1
144050,2,"R",9626779,"R",1385286,"R",1337,"R",88092,"R",83547,"R",9714871,"R",1470170,"R",11185041,"R",209916,"R",1986135,"R",2196051,"R",5,"R",13689660,1,"R",3730512,"R",5111974,"R",12324818,"R",474336,"R",17911128,"R",298380,"R",2966806,"R",3265186,"R",38596486,34865974,"R ",50318,"R ",45526, 1
144157,2,"R",52616,"R",33032,"R",132,"R",29,"R",0,"R",52645,"R",33164,"R",85809,"R",5339,"R",598686,"R",604025,"R",0,"R",429930,1,"R",60394,"R",42792,"R",18900,"R",15960,"R",77652,"R",995,"R",8424,"R",9419,"R",577395,517001,"R ",221,"R ",278, 1
