id,library
265,YORK - HIGHTOWER MEMORIAL LIBRARY
266,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY
267,ANNISTON AND CALHOUN COUNTY PUBLIC LIBRARY
268,ANNISTON AND CALHOUN  COUNTY - CARVER BRANCH
269,ANNISTON AND CALHOUN COUNTY - BOOKMOBILE
270,JACKSONVILLE PUBLIC LIBRARY
271,PIEDMONT PUBLIC LIBRARY
272,AKRON PUBLIC LIBRARY
273,DOTHAN - ASHFORD BRANCH LIBRARY
274,DOTHAN - ROSSIE PURCELL  BRANCH PUBLIC LIBRARY
275,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM
276,DOTHAN HOUSTON COUNTY BOOKMOBILE
277,DOTHAN - WESTGATE BRANCH LIBRARY
278,BLOUNTSVILLE PUBLIC LIBRARY
279,CHEROKEE PUBLIC LIBRARY
280,BRENT - CENTREVILLE PUBLIC LIBRARY
281,CHILTON - CLANTON PUBLIC LIBRARY
282,CHILTON - CLANTON PUBLIC - JEMISON BRANCH LIBRARY
283,CHILTON - CLANTON PUBLIC - MAPLESVILLE BRANCH
284,CHOCTAW COUNTY PUBLIC LIBRARY
285,CHOCTAW COUNTY PUBLIC - GILBERTOWN BRANCH
286,CHOCTAW COUNTY PUBLIC - SILAS BRANCH
287,CITRONELLE MEMORIAL LIBRARY
288,GROVE HILL PUBLIC LIBRARY
289,HUNTSVILLE PUBLIC - BESSIE K. RUSSELL BRANCH
290,HUNTSVILLE PUBLIC - ELEANOR E. MURPHY BRANCH
291,GURLEY PUBLIC LIBRARY
292,HUNTSVILLE PUBLIC - MADISON BRANCH LIBRARY
293,HUNTSVILLE PUBLIC - ELIZABETH CARPENTER PUBLIC LIBRARY
294,HUNTSVILLE PUBLIC - TRIANA BRANCH
295,HUNTSVILLE PUBLIC - BAILEY COVE BRANCH LIBRARY
296,"HUNTSVILLE PUBLIC - DR. RICHARD SHOWERS, SR. LIBRARY"
297,HUNTSVILLE PUBLIC - TILLMAN HILL BRANCH
298,HUNTSVILLE PUBLIC - MONROVIA BRANCH LIBRARY
299,HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY
300,HUNTSVILLE PUBLIC - OSCAR MASON BRANCH
301,"EUTAW - JAMES C. POOLE, JR. MEMORIAL LIIBRARY"
302,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY
303,HALE COUNTY LIBRARY
304,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY
305,JACKSON - WHITE SMITH MEMORIAL LIBRARY
306,MARION - PERRY COUNTY PUBLIC LIBRARY
307,WOODVILLE PUBLIC LIBRARY
308,CITY OF BAYOU LA BATRE PUBLIC LIBRARY
309,SCOTTSBORO PUBLIC LIBRARY
310,ONEONTA PUBLIC LIBRARY
311,THOMASVILLE PUBLIC LIBRARY
312,MACON COUNTY - TUSKEGEE PUBLIC LIBRARY
313,MOUNDVILLE PUBLIC LIBRARY
314,UNIONTOWN PUBLIC LIBRARY
315,PRICHARD PUBLIC LIBRARY
316,PRICHARD PUBLIC - MITCHELL BRANCH
317,WASHINGTON COUNTY PUBLIC - MCINTOSH BRANCH LIBRARY
318,WASHINGTON COUNTY PUBLIC LIBRARY
319,WASHINGTON COUNTY BOOKMOBILE
320,EVERGREEN - CONECUH COUNTY PUBLIC LIBRARY
321,MOBILE PUBLIC LIBRARY - BEN MAY MAIN LIBRARY
322,MOBILE PUBLIC - PARKWAY BRANCH
323,MOBILE PUBLIC - MOORER/SPRING HILL BRANCH
324,MOBILE PUBLIC - TOULMINVILLE BRANCH
325,MOBILE PUBLIC - SARALAND BRANCH LIBRARY
326,MOBILE PUBLIC LIBRARY - BOOKMOBILE
327,MOBILE PUBLIC - WEST REGIONAL LIBRARY
328,MOBILE PUBLIC - THEODORE OAKS BRANCH
329,MOBILE PUBLIC - TRINITY GARDENS COMMUNITY BRANCH LIBRARY
330,SEMMES BRANCH
331,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - JULIETTE HAMPTON MOR
332,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - COLISEUM BOULEVARD B
333,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- GOVERNOR'S SQUARE BRA
334,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- PIKE ROAD BRANCH
335,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- PINE LEVEL BRANCH
336,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - PINTLALA BRANCH
337,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - RAMER BRANCH
338,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - BERTHA P. WILLIAMS L
339,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- EL LOWDER REGIONAL LI
340,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - RUFUS A. LEWIS REGIO
341,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- HAMPSTEAD BRANCH
342,WHITE HALL PUBLIC LIBRARY
343,STEVENSON PUBLIC LIBRARY
344,KILLEN PUBLIC LIBRARY
345,LEXINGTON PUBLIC LIBRARY
346,AUTAUGA - PRATTVILLE PUBLIC LIBRARY
347,AUTAUGAVILLE PUBLIC LIBRARY
